id,sound,idiom,type,idiom_cyr
78,p,Shapsug,stops,шапсугские
79,t,Shapsug,stops,шапсугские
80,kʷ,Shapsug,stops,шапсугские
81,kʲ,Shapsug,stops,шапсугские
82,q,Shapsug,stops,шапсугские
83,qʷ,Shapsug,stops,шапсугские
84,ʔ,Shapsug,stops,шапсугские
85,ʔʷ,Shapsug,stops,шапсугские
86,pʰ,Shapsug,stops,шапсугские
87,tʰ,Shapsug,stops,шапсугские
88,kʰʷ,Shapsug,stops,шапсугские
89,p',Shapsug,stops,шапсугские
90,p'ʷ,Shapsug,stops,шапсугские
91,t',Shapsug,stops,шапсугские
92,t'ʷ,Shapsug,stops,шапсугские
93,k',Shapsug,stops,шапсугские
94,k'ʷ,Shapsug,stops,шапсугские
95,kʲ',Shapsug,stops,шапсугские
96,q',Shapsug,stops,шапсугские
97,q'ʷ,Shapsug,stops,шапсугские
98,b,Shapsug,stops,шапсугские
99,d,Shapsug,stops,шапсугские
100,ɡ,Shapsug,stops,шапсугские
101,ɡʷ,Shapsug,stops,шапсугские
102,ɡʲ,Shapsug,stops,шапсугские
299,s,Shapsug,fricatives,шапсугские
300,ŝ,Shapsug,fricatives,шапсугские
301,ŝʷ,Shapsug,fricatives,шапсугские
302,ɕ,Shapsug,fricatives,шапсугские
303,ɬ,Shapsug,fricatives,шапсугские
304,x,Shapsug,fricatives,шапсугские
305,xʲ,Shapsug,fricatives,шапсугские
306,χ,Shapsug,fricatives,шапсугские
307,χʷ,Shapsug,fricatives,шапсугские
308,ħ,Shapsug,fricatives,шапсугские
309,ʜ,Shapsug,fricatives,шапсугские
310,ʜʷ,Shapsug,fricatives,шапсугские
311,ɕʰ,Shapsug,fricatives,шапсугские
312,s',Shapsug,fricatives,шапсугские
313,ŝ',Shapsug,fricatives,шапсугские
314,ŝ'ʷ,Shapsug,fricatives,шапсугские
315,ɬ',Shapsug,fricatives,шапсугские
316,z,Shapsug,fricatives,шапсугские
317,ẑ,Shapsug,fricatives,шапсугские
318,ẑʷ,Shapsug,fricatives,шапсугские
319,ʑ,Shapsug,fricatives,шапсугские
320,ɣ,Shapsug,fricatives,шапсугские
321,ʁ,Shapsug,fricatives,шапсугские
322,ʁʷ,Shapsug,fricatives,шапсугские
559,ts,Shapsug,affricates,шапсугские
560,tŝʷ,Shapsug,affricates,шапсугские
561,tɕ,Shapsug,affricates,шапсугские
562,tsʰ,Shapsug,affricates,шапсугские
563,tɕʰ,Shapsug,affricates,шапсугские
564,ts’,Shapsug,affricates,шапсугские
565,tŝ’ʷ,Shapsug,affricates,шапсугские
566,tɕ’,Shapsug,affricates,шапсугские
567,dz,Shapsug,affricates,шапсугские
568,dẑʷ,Shapsug,affricates,шапсугские
569,dʑ,Shapsug,affricates,шапсугские
636,m,Shapsug,sonorants,шапсугские
637,n,Shapsug,sonorants,шапсугские
638,j,Shapsug,sonorants,шапсугские
639,r,Shapsug,sonorants,шапсугские
640,l,Shapsug,sonorants,шапсугские
58,p,Xakuch,stops,хакучинский
59,t,Xakuch,stops,хакучинский
60,kʷ,Xakuch,stops,хакучинский
61,kʲ,Xakuch,stops,хакучинский
62,q,Xakuch,stops,хакучинский
63,qʷ,Xakuch,stops,хакучинский
64,ʔ,Xakuch,stops,хакучинский
65,ʔʷ,Xakuch,stops,хакучинский
66,p',Xakuch,stops,хакучинский
67,p'ʷ,Xakuch,stops,хакучинский
68,t',Xakuch,stops,хакучинский
69,t'ʷ,Xakuch,stops,хакучинский
70,k',Xakuch,stops,хакучинский
71,k'ʷ,Xakuch,stops,хакучинский
72,kʲ',Xakuch,stops,хакучинский
73,b,Xakuch,stops,хакучинский
74,d,Xakuch,stops,хакучинский
75,ɡ,Xakuch,stops,хакучинский
76,ɡʷ,Xakuch,stops,хакучинский
77,ɡʲ,Xakuch,stops,хакучинский
323,s,Xakuch,fricatives,хакучинский
324,ŝ,Xakuch,fricatives,хакучинский
325,ŝʷ,Xakuch,fricatives,хакучинский
326,ɕ,Xakuch,fricatives,хакучинский
327,ɬ,Xakuch,fricatives,хакучинский
328,x,Xakuch,fricatives,хакучинский
329,χ,Xakuch,fricatives,хакучинский
330,χʷ,Xakuch,fricatives,хакучинский
331,ħ,Xakuch,fricatives,хакучинский
332,ʜ,Xakuch,fricatives,хакучинский
333,ʜʷ,Xakuch,fricatives,хакучинский
334,s',Xakuch,fricatives,хакучинский
335,ŝ',Xakuch,fricatives,хакучинский
336,ŝ'ʷ,Xakuch,fricatives,хакучинский
337,ɬ',Xakuch,fricatives,хакучинский
338,z,Xakuch,fricatives,хакучинский
339,ẑ,Xakuch,fricatives,хакучинский
340,ẑʷ,Xakuch,fricatives,хакучинский
341,ʑ,Xakuch,fricatives,хакучинский
342,ɣ,Xakuch,fricatives,хакучинский
343,ʁ,Xakuch,fricatives,хакучинский
344,ʁʷ,Xakuch,fricatives,хакучинский
631,m,Xakuch,sonorants,хакучинский
632,n,Xakuch,sonorants,хакучинский
633,j,Xakuch,sonorants,хакучинский
634,r,Xakuch,sonorants,хакучинский
635,l,Xakuch,sonorants,хакучинский
185,p,Tersk,stops,терские
186,t,Tersk,stops,терские
187,kʷ,Tersk,stops,терские
188,kʲ,Tersk,stops,терские
189,ʔ,Tersk,stops,терские
190,ʔʷ,Tersk,stops,терские
191,p',Tersk,stops,терские
192,t',Tersk,stops,терские
193,kʲ',Tersk,stops,терские
194,k'ʷ,Tersk,stops,терские
195,q',Tersk,stops,терские
196,q'ʷ,Tersk,stops,терские
197,b,Tersk,stops,терские
198,d,Tersk,stops,терские
199,ɡ,Tersk,stops,терские
200,ɡʲ,Tersk,stops,терские
201,ɡʷ,Tersk,stops,терские
491,f,Tersk,fricatives,терские
492,s,Tersk,fricatives,терские
493,sʲ,Tersk,fricatives,терские
494,ŝ,Tersk,fricatives,терские
495,ɕ,Tersk,fricatives,терские
496,ɬ,Tersk,fricatives,терские
497,x,Tersk,fricatives,терские
498,xʷ,Tersk,fricatives,терские
499,χ,Tersk,fricatives,терские
500,χʷ,Tersk,fricatives,терские
501,ħ,Tersk,fricatives,терские
502,ʜ,Tersk,fricatives,терские
503,ʜʷ,Tersk,fricatives,терские
504,f’,Tersk,fricatives,терские
505,sʲ’,Tersk,fricatives,терские
506,ɬ’,Tersk,fricatives,терские
507,v,Tersk,fricatives,терские
508,z,Tersk,fricatives,терские
509,zʲ,Tersk,fricatives,терские
510,ẑ,Tersk,fricatives,терские
511,ʑ,Tersk,fricatives,терские
512,ɮ,Tersk,fricatives,терские
513,ɣ,Tersk,fricatives,терские
514,ʁ,Tersk,fricatives,терские
515,ʁʷ,Tersk,fricatives,терские
610,ts,Tersk,affricates,терские
611,tɕ,Tersk,affricates,терские
612,qχ,Tersk,affricates,терские
613,qχʷ,Tersk,affricates,терские
614,ts’,Tersk,affricates,терские
615,tŝ’,Tersk,affricates,терские
616,tɕ’,Tersk,affricates,терские
617,dz,Tersk,affricates,терские
618,dʑ,Tersk,affricates,терские
661,m,Terek,sonorants,терские
662,n,Terek,sonorants,терские
663,j,Terek,sonorants,терские
664,r,Terek,sonorants,терские
1,p,Temirgoy,stops,темергоевский
2,t,Temirgoy,stops,темергоевский
3,kʷ,Temirgoy,stops,темергоевский
4,q,Temirgoy,stops,темергоевский
5,qʷ,Temirgoy,stops,темергоевский
6,ʔ,Temirgoy,stops,темергоевский
7,ʔʷ,Temirgoy,stops,темергоевский
8,p',Temirgoy,stops,темергоевский
9,p'ʷ,Temirgoy,stops,темергоевский
10,t',Temirgoy,stops,темергоевский
11,t'ʷ,Temirgoy,stops,темергоевский
