translation_source,lect,sound,sound_source,example,reference,full_reference
арба,Хаджико,kʷ,ку,kʷə,fieldwork,fieldwork
арба,Большой Кичмай,kʷ,ку,kʷə,fieldwork,fieldwork
арба,Агуй-Шапсуг,kʷ,ку,kʷə,fieldwork,fieldwork
арба,Псейтук,kʷ,ку,kʷə,fieldwork,fieldwork
арба,Нешукай,kʷ,ку,kʷə,fieldwork,fieldwork
арба,М. Псеушхо,kʷ,ку,kʷə,fieldwork,fieldwork
арба,Уляп,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Вакожиле,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Кургоковское,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Ходзь,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Блечепсин,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Хумара,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Инджиджишхо,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Эрсакон,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
арба,Жако,ɡʷ,гуы,ɡʷə,fieldwork,fieldwork
борода,Хаджико,ʑ,жь,ʑakʲ’ɐ,fieldwork,fieldwork
борода,Большой Кичмай,ʑ,жь,ʑat͡ɕ’ɐ,fieldwork,fieldwork
борода,Агуй-Шапсуг,ʑ,жь,ʑakʲ’ɐ,fieldwork,fieldwork
борода,Псейтук,ʑ,жь,ʑakʲ’ɐ,fieldwork,fieldwork
борода,Нешукай,ʒ,ж,ʒat͡ɕ’ɐ,fieldwork,fieldwork
борода,Егерухай,ʒ,ж,ʒat͡ɕ’ɐ,fieldwork,fieldwork
борода,Уляп,ʒ,ж,ʒat͡ɕ’ɐ,fieldwork,fieldwork
борода,Вакожиле,ʒ,ж,ʒat͡ɕ’ɐ,fieldwork,fieldwork
борода,Кургоковское,ʒ,ж,ʒat͡ɕ’ɐ,fieldwork,fieldwork
борода,Ходзь,ẑ,жъ,ẑat͡ɕ’ɐ,fieldwork,fieldwork
борода,Блечепсин,ẑ,жъ,ẑat͡ɕ’ɐ,fieldwork,fieldwork
борода,Хумара,ẑ,жъ,ẑat͡ɕ’ɐ,fieldwork,fieldwork
